max_age,senior_survival,optimal_percDart
56.000,0.100,0.401367
56.000,0.200,0.409180
56.000,0.300,0.407227
56.000,0.400,0.410156
56.000,0.500,0.397461
58.000,0.100,0.414062
58.000,0.200,0.413086
58.000,0.300,0.418945
58.000,0.400,0.416992
58.000,0.500,0.420898
60.000,0.100,0.426758
60.000,0.200,0.425781
60.000,0.300,0.422852
60.000,0.400,0.416992
60.000,0.500,0.421875
62.000,0.100,0.432617
62.000,0.200,0.424805
62.000,0.300,0.429688
62.000,0.400,0.434570
62.000,0.500,0.431641
64.000,0.100,0.428711
64.000,0.200,0.446289
64.000,0.300,0.442383
64.000,0.400,0.437500
64.000,0.500,0.438477
